ABMP,HDHT,PBMP,PER,TBMP,TDHT,WLRG,WSA,TIME
-27.85,74.20,1016.60,5000,20.80,18.90,0,1.00,2022-10-05 14:42:37.587711
-27.44,74.50,1016.55,5000,20.80,18.90,0,0.00,2022-10-05 14:42:42.596364
-27.44,74.50,1016.55,5000,20.80,18.90,0,0.00,2022-10-05 14:42:47.606036
-27.77,75.30,1016.59,5000,20.80,19.00,0,0.00,2022-10-05 14:42:52.614859
-27.94,74.90,1016.61,5000,20.80,19.00,0,0.00,2022-10-05 14:42:57.624008
-28.27,74.60,1016.65,5000,20.80,18.90,0,0.00,2022-10-05 14:43:02.629375
-27.36,74.40,1016.54,5000,20.80,18.90,0,0.00,2022-10-05 14:43:07.638252
-27.19,74.30,1016.52,5000,20.80,18.90,0,569.00,2022-10-05 14:43:12.647537
-27.69,74.40,1016.58,5000,20.80,18.90,0,505.00,2022-10-05 14:43:17.656573
-27.77,74.60,1016.59,5000,20.80,18.90,0,3746.00,2022-10-05 14:43:22.667536
-28.27,74.40,1016.65,5000,20.80,18.90,0,8451.00,2022-10-05 14:43:27.670846
-29.27,74.60,1016.77,5000,20.80,18.90,0,5215.00,2022-10-05 14:43:32.680083
-27.69,75.10,1016.58,5000,20.80,19.00,0,4412.00,2022-10-05 14:43:37.689317
-27.85,74.90,1016.60,5000,20.80,18.90,0,26092.00,2022-10-05 14:43:42.698019
-27.85,74.90,1016.60,5000,20.80,19.00,0,8528.00,2022-10-05 14:43:47.707236
-27.19,74.80,1016.52,5000,20.80,18.90,0,-5.00,2022-10-05 14:43:52.712622
-27.36,74.80,1016.54,5000,20.80,18.90,0,17.00,2022-10-05 14:43:57.719352
-27.52,74.50,1016.56,5000,20.80,18.90,0,-132.00,2022-10-05 14:44:02.730794
-27.19,74.50,1016.52,5000,20.80,18.90,0,-116.00,2022-10-05 14:44:07.736464
-27.69,74.30,1016.58,5000,20.80,18.90,0,17957.00,2022-10-05 14:44:12.744835
-27.77,74.50,1016.59,5000,20.80,18.90,0,25463.00,2022-10-05 14:44:17.753936
-27.85,74.90,1016.60,5000,20.80,18.90,0,25301.00,2022-10-05 14:44:22.763631
-27.52,74.90,1016.56,5000,20.70,18.90,0,16681.00,2022-10-05 14:44:27.768593
-27.19,74.70,1016.52,5000,20.70,19.00,0,2610.00,2022-10-05 14:44:32.777948
-27.11,74.60,1016.51,5000,20.70,18.90,0,15144.00,2022-10-05 14:44:37.786699
-27.69,74.70,1016.58,5000,20.70,18.90,0,6323.00,2022-10-05 14:44:42.795768
-27.85,74.80,1016.60,5000,20.80,18.90,0,-15.00,2022-10-05 14:44:47.801076
-27.36,74.70,1016.54,5000,20.70,18.80,0,4082.00,2022-10-05 14:44:52.810460
-27.11,74.70,1016.51,5000,20.70,18.90,0,12856.00,2022-10-05 14:44:57.819226
-27.85,75.10,1016.60,5000,20.80,18.90,0,-50.00,2022-10-05 14:45:02.824550
-27.36,75.10,1016.54,5000,20.80,18.80,0,-15.00,2022-10-05 14:45:07.833661
-27.77,75.00,1016.59,5000,20.80,18.90,0,0.00,2022-10-05 14:45:12.838476
-28.02,75.00,1016.62,5000,20.80,18.80,0,0.00,2022-10-05 14:45:17.847904
-28.02,74.90,1016.62,5000,20.80,18.90,0,0.00,2022-10-05 14:45:22.853263
-27.85,74.80,1016.60,5000,20.80,18.90,0,0.00,2022-10-05 14:45:27.861987
-27.61,75.10,1016.57,5000,20.80,18.80,0,0.00,2022-10-05 14:45:32.870895
-27.52,75.20,1016.56,5000,20.80,18.90,0,0.00,2022-10-05 14:45:37.880365
-27.77,75.00,1016.59,5000,20.80,18.90,0,0.00,2022-10-05 14:45:42.885369
-27.36,74.90,1016.54,5000,20.80,19.00,0,0.00,2022-10-05 14:45:47.898032
-27.52,74.80,1016.56,5000,20.80,18.90,0,0.00,2022-10-05 14:45:52.903440
-27.27,74.80,1016.53,5000,20.80,18.90,0,0.00,2022-10-05 14:45:57.908637
-27.77,74.70,1016.59,5000,20.80,18.90,0,0.00,2022-10-05 14:46:02.917701
-27.27,74.60,1016.53,5000,20.90,18.90,0,0.00,2022-10-05 14:46:07.926721
-27.52,74.60,1016.56,5000,20.80,19.00,0,0.00,2022-10-05 14:46:12.932104
-27.94,74.60,1016.61,5000,20.80,18.90,0,0.00,2022-10-05 14:46:17.943620
-27.61,74.70,1016.57,5000,20.80,19.00,0,0.00,2022-10-05 14:46:22.950261
-27.36,74.50,1016.54,5000,20.80,19.00,0,0.00,2022-10-05 14:46:27.960067
-27.77,74.40,1016.59,5000,20.80,19.00,0,0.00,2022-10-05 14:46:32.964493
-27.77,74.40,1016.59,5000,20.90,19.00,0,0.00,2022-10-05 14:46:37.973664
-27.77,74.50,1016.59,5000,20.90,19.00,0,0.00,2022-10-05 14:46:42.983271
-28.19,74.30,1016.64,5000,20.90,19.00,0,0.00,2022-10-05 14:46:47.991886
-28.52,74.20,1016.68,5000,20.90,18.90,0,0.00,2022-10-05 14:46:52.996986
-27.44,74.30,1016.55,5000,20.90,19.00,0,0.00,2022-10-05 14:46:58.006260
-28.44,74.40,1016.67,5000,20.90,19.00,0,0.00,2022-10-05 14:47:03.015249
